name,price,url,store
Core i9 13900KS BOX,106842,https://kakaku.com/item/K0001508680/,電子問屋
Core i9 13900 BOX,82370,https://kakaku.com/item/K0001506426/,BESTDO!
Core i9 13900K BOX,80978,https://kakaku.com/item/K0001476105/,らいぶshop
Core i9 13900F BOX,80690,https://kakaku.com/item/K0001506427/,ディーライズ
Core i9 13900KF BOX,77800,https://kakaku.com/item/K0001476106/,ディーライズ
Core i9 12900KS BOX,75800,https://kakaku.com/item/K0001431949/,ディーライズ
Core i9 12900F BOX,69800,https://kakaku.com/item/K0001413989/,ディーライズ
Core i9 12900K BOX,62467,https://kakaku.com/item/K0001395716/,らいぶshop
Core i9 12900 BOX,59880,https://kakaku.com/item/K0001413988/,ディーライズ
Core i9 12900KF BOX,58000,https://kakaku.com/item/K0001395717/,ドスパラ
Core i7 13700K BOX,57960,https://kakaku.com/item/K0001476107/,ノジマオンライン
Core i7 13700KF BOX,54980,https://kakaku.com/item/K0001476108/,PC-IDEA
Core i7 13700 BOX,54500,https://kakaku.com/item/K0001506428/,ディーライズ
Core i7 13700F BOX,51780,https://kakaku.com/item/K0001506429/,PC-IDEA
Core i7 12700K BOX,48980,https://kakaku.com/item/K0001395718/,電子問屋
Core i7 12700KF BOX,46980,https://kakaku.com/item/K0001395719/,ＧＩＧＡ
Core i7 12700 BOX,45770,https://kakaku.com/item/K0001413990/,BESTDO!
Core i5 13600K BOX,42980,https://kakaku.com/item/K0001476109/,ディーライズ
Core i7 12700F BOX,42980,https://kakaku.com/item/K0001413991/,PC-IDEA
Core i5 13600KF BOX,42279,https://kakaku.com/item/K0001476110/,測定の森
Core i5 12600K BOX,38092,https://kakaku.com/item/K0001395720/,らいぶshop
Core i5 12600 BOX,37480,https://kakaku.com/item/K0001413992/,PC-IDEA
Core i5 12600KF BOX,36780,https://kakaku.com/item/K0001395721/,ドスパラ
Core i5 13500 BOX,35880,https://kakaku.com/item/K0001506430/,アプライドネット
Core i5 13400 BOX,32479,https://kakaku.com/item/K0001506431/,らいぶshop
Core i5 12500 BOX,31480,https://kakaku.com/item/K0001413993/,PC-IDEA
Core i5 13400F BOX,28480,https://kakaku.com/item/K0001506432/,PC-IDEA
Core i5 12400 BOX,26480,https://kakaku.com/item/K0001413994/,PC-IDEA
Core i5 12400F BOX,22880,https://kakaku.com/item/K0001413995/,PC-IDEA
Core i3 13100 BOX,20980,https://kakaku.com/item/K0001506433/,PC-IDEA
Core i3 12100 BOX,19280,https://kakaku.com/item/K0001413997/,ドスパラ
Core i3 13100F BOX,16680,https://kakaku.com/item/K0001506434/,アキバ倉庫
Core i3 12100F BOX,14450,https://kakaku.com/item/K0001413998/,PC-IDEA
